No,Compound name,SMILES,Lecithin(%),pH,DMSO_Conc (w/v%),Donor_Plate_Volume (µm),Acceptor_Plate_Volume (µm),Temperature (??,Incubation_Time (hr),%T/MR,Pe,logPe,Source,SMILES_clean,PC1_acid_base_score,AcidBaseClass
1662.0,,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)Br)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,2.4,-5.619788758,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1ccc(S(=O)(=O)Nc2ccc(Br)cc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,0.007969829217577022,Neutral
1663.0,,COC1=CC=CC(=C1CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)O,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,5.16,-5.287350298,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1cccc(O)c1CNc1ccc(S(=O)(=O)Nc2nccs2)cc1,0.004545447033221473,Neutral
1664.0,,CC(C)C1=CC=CC=C1C2=NC=C(C(=N2)NC3(CC3)C4=CC=C(C=C4)C5=CN=CC=C5)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CC(C)c1ccccc1-c1ncc(F)c(NC2(c3ccc(-c4cccnc4)cc3)CC2)n1,-0.004684398346516614,Neutral
1665.0,,CC1=CC(=CC(=C1Cl)C)OCCCC2=C(N(C3=C2C=CC=C3C4=C(N(N=C4COC5=CC=C(C=C5)N6CCN(CC6)C(=O)C)C)C)CC7=CN=CC=C7)C(=O)O,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,370.4,-3.431329022,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CC(=O)N1CCN(c2ccc(OCc3nn(C)c(C)c3-c3cccc4c(CCCOc5cc(C)c(Cl)c(C)c5)c(C(=O)O)n(Cc5cccnc5)c34)cc2)CC1,0.0710407425569968,Neutral
1666.0,,CCOC1=CC=C(C=C1)NC2=NC(=NC(=C2NC(=O)C3=CC=C(C=C3)C)C)NC4=CC=C(C=C4)OCC,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,211.0,-3.675717545,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CCOc1ccc(Nc2nc(C)c(NC(=O)c3ccc(C)cc3)c(Nc3ccc(OCC)cc3)n2)cc1,0.02652927142365799,Neutral
1667.0,,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NC(=CS3)C4=CC=C(C=C4)Cl,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,16.6,-4.779891912,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,0.005703915624535023,Neutral
1668.0,,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3[N-]2)OCCCOC.[Na+],20.0,7.4,0.5,200.0,200.0,25.0,0.5,,211.55,-3.67458697,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[n-]2)c1C.[Na+],-0.014577939884993698,Neutral
1669.0,,CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC(=NC4=CC=CC=C43)C5=CC=NC=C5)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CN1CCN(c2ccc(Nc3nc(-c4ccncc4)nc4ccccc34)cc2F)CC1,-0.003241459618060407,Neutral
1670.0,,CC1=CC=C(C=C1)C2=C(C3=NC4=C(CCCC4)C(=O)N3N2)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,506.35,-3.295549186,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1ccc(-c2[nH]n3c(=O)c4c(nc3c2C)CCCC4)cc1,-0.0335808359138425,Neutral
1671.0,,CCOC(=O)N1CCN(CC1)CC2=NC3=C(N2CC4=CC=C(C=C4)F)C(=O)N(C(=O)N3C)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,549.95,-3.259676794,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CCOC(=O)N1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccc(F)cc2)CC1,0.007341722017973711,Neutral
1672.0,,C1CN(CCN(C1)C2=NC=C(C=C2)C(F)(F)F)CC3=CC(=O)N4C=CC=CC4=N3,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,O=c1cc(CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)nc2ccccn12,-0.014637771540866148,Neutral
1673.0,,C1=CC=C2C(=C1)N=C3C=C(C(=O)C=C3O2)N,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,105.52,-3.976665217,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Nc1cc2nc3ccccc3oc-2cc1=O,-0.04211344793699571,Neutral
1674.0,,COCCNC1=NC=C(C2=C1OCC2)C3=CC(=CC=C3)O,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,411.65,-3.38547188,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COCCNc1ncc(-c2cccc(O)c2)c2c1OCC2,-0.021555721841012804,Neutral
1675.0,,C1CN(C2=CC=CC=C21)C3=NC=NC(=C3[N+](=O)[O-])N,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,294.89,-3.530339955,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Nc1ncnc(N2CCc3ccccc32)c1[N+](=O)[O-],-0.02520131995375945,Neutral
1676.0,,C1=CC=C(C=C1)NC2=NC=NC(=C2)C3=COC=C3,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,c1ccc(Nc2cc(-c3ccoc3)ncn2)cc1,-0.036775295446578565,Neutral
1677.0,,C1=CC=C(C=C1)CNC2=C(N=C(O2)C3=CC=CC4=CC=CC=C43)C#N,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,22.9,-4.640164518,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,N#Cc1nc(-c2cccc3ccccc23)oc1NCc1ccccc1,-0.020297113823899628,Neutral
1678.0,,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)C5=CC(=NC=C5)C(F)(F)F)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,11.6,-4.935542011,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Fc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1-c1ccnc(C(F)(F)F)c1,6.18157927871224e-05,Neutral
1679.0,,CC(C)(C)C1=CC=C(C=C1)C(=O)N2CC(=O)NC3=C(C2C4=CC=C(C=C4)F)C=C(C=C3)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CC(C)(C)c1ccc(C(=O)N2CC(=O)Nc3ccc(F)cc3C2c2ccc(F)cc2)cc1,-0.020010474019793764,Neutral
1680.0,,CC1=CC(=C(O1)C)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,768.45,-3.114384385,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1cc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c(C)o1,0.012177971392844333,Neutral
1681.0,,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)NCC5=CC=CC=C5I,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Ic1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,-0.008943295017284086,Neutral
1682.0,,CN1C=C(C(=N1)C2C3=C(CCCC3=O)NC(=N2)NC4=NC5=CC=CC=C5O4)Br,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cn1cc(Br)c(C2N=C(Nc3nc4ccccc4o3)NC3=C2C(=O)CCC3)n1,0.0069705060427849965,Neutral
1683.0,,CCN(CC)C(=O)C1=CC2=C(C=C1)N(C=N2)C3=CC=CC(=C3)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,888.91,-3.051142208,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CCN(CC)C(=O)c1ccc2c(c1)ncn2-c1cccc(C)c1,-0.035919608332905265,Neutral
1684.0,,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCCN(C3)C(=O)CC4=CC=C(C=C4)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,850.76,-3.070192937,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1ccc(-n2nc(C3CCCN(C(=O)Cc4ccc(F)cc4)C3)[nH]c2=O)cc1,-0.006366458786468638,Neutral
1685.0,,C1COCCN1S(=O)(=O)C2=CC=CC(=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=N4,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,656.57,-3.182718965,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(S(=O)(=O)N2CCOCC2)c1,0.002312106978427139,Neutral
1686.0,,CC1=CC(=NC2=C1C(=C(S2)C(=O)NCC3=CC=C(C=C3)OC)N)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,-0.016040668706134187,Neutral
1687.0,,CC1=CN=C(N=C1C2=CC(=CC=C2)N(C)C)N3CCC(CC3)C(=O)N,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,666.49,-3.176206362,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1cnc(N2CCC(C(N)=O)CC2)nc1-c1cccc(N(C)C)c1,-0.019416545968115883,Neutral
1688.0,,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CCCC3=C2NC4=C3C=CC=C4Cl,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,592.74,-3.227135764,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1cc(C(=O)NC2CCCc3c2[nH]c2c(Cl)cccc32)cc(OC)c1OC,-0.006696103717537184,Neutral
1689.0,,CN(C)C1=CC=CC(=C1)C2=NC=CC(=N2)N3CCC(CC3)C(=O)N,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,286.52,-3.542845058,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CN(C)c1cccc(-c2nccc(N3CCC(C(N)=O)CC3)n2)c1,-0.02092837306782558,Neutral
1690.0,,C1CN(CCN1C2=NC=CC=N2)C(=O)C3=NC(=C4N3C=CC=C4)C5=CN=CC=C5,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,O=C(c1nc(-c2cccnc2)c2ccccn12)N1CCN(c2ncccn2)CC1,-0.005889227920120019,Neutral
1691.0,,CN1C2=C(C=C(C=C2)NC(=O)COC3=CC=C(C=C3)Cl)N=C1CN4CCCC4,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cn1c(CN2CCCC2)nc2cc(NC(=O)COc3ccc(Cl)cc3)ccc21,-0.009290767911722715,Neutral
1692.0,,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC5=CC=CC=C5C=C4,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc2ccccc2c1,0.015241108901589253,Neutral
1693.0,,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,780.12,-3.107838588,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1,0.027968716217110997,Neutral
1694.0,,CC1=CN=C(C=C1)NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=C(O4)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1ccc(NC(=O)c2cc(-c3ccc(C)o3)nc3ccccc23)nc1,-0.019452466672406722,Neutral
1695.0,,C1=CC=NC(=C1)N[S+](=O)(C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)Cl)Cl)[O-],20.0,7.4,0.5,200.0,200.0,25.0,0.5,,651.48,-3.186098912,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc([S+](=O)([O-])Nc2ccccn2)cc1,-0.005471873860901661,Neutral
1696.0,,COC1=CC=C(C=C1)CCNC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(C2=N)CCCN5CCOCC5,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,394.5,-3.403952992,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1ccc(CCNC(=O)c2cc3c(=O)n4ccccc4nc3n(CCCN3CCOCC3)c2=N)cc1,0.033203193744560155,Neutral
1697.0,,CCOC(=O)C1=CC=C(C=C1)N2C(C3=C(NN=C3C2=O)C4=CC=CO4)C5=CC=C(C=C5)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,6.34,-5.197910742,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CCOC(=O)c1ccc(N2C(=O)c3n[nH]c(-c4ccco4)c3C2c2ccc(C)cc2)cc1,0.0013027652394742369,Neutral
1698.0,,CC1=CC(=CC(=C1)C(=O)NC2=CC3=C(C=C2)C(=NC=N3)N4CCCC4)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1cc(C)cc(C(=O)Nc2ccc3c(N4CCCC4)ncnc3c2)c1,-0.020844916852666446,Neutral
1699.0,,CNC1=NC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,256.99,-3.590083776,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CNc1cc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)ccn1,-0.010777662369303297,Neutral
1700.0,,CC(=O)NC1=CC=C(C=C1)NC(=O)C(C2=CC=CC=C2)NS(=O)(=O)C3=CC=C(S3)Br,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,224.0,-3.649751982,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CC(=O)Nc1ccc(NC(=O)C(NS(=O)(=O)c2ccc(Br)s2)c2ccccc2)cc1,0.008496015187632,Neutral
1701.0,,CCN1C2=C(C=CC(=C2)C(=O)NCC3=CC=CC=C3)S(=O)C4=CC=CC=C4C1=O,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,775.35,-3.110502209,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CCN1C(=O)c2ccccc2S(=O)c2ccc(C(=O)NCc3ccccc3)cc21,-0.015996818546842106,Neutral
1702.0,,CC1=CC(=C(C(=O)N1)CNC(=O)C2=C3C=CN(C3=CC(=N2)C4=CC=CC(=C4)CO)C)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1cc(C)c(CNC(=O)c2nc(-c3cccc(CO)c3)cc3c2ccn3C)c(=O)[nH]1,0.0041450130178852925,Neutral
1703.0,,CN1CCN(CC1)C(=O)C2=CC3=C(C=C2)C=C(C=C3)CCNC4=NC=NC5=C4C=C(C=C5)C#N,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,545.34,-3.263332646,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CN1CCN(C(=O)c2ccc3cc(CCNc4ncnc5ccc(C#N)cc45)ccc3c2)CC1,0.0058478159217311,Neutral
1704.0,,CC1=CC(=C(N1C2=CC=CC(=C2)C#N)C)C3=NN=C4N3CCCCC4,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,228.67,-3.640790808,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1cccc(C#N)c1,-0.024302278966264575,Neutral
1705.0,,CC1=CN=C(N=C1NCC2=CC=C(C=C2)C3=CN=CC=C3)C4=CC=CC=C4C(F)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1cnc(-c2ccccc2C(F)F)nc1NCc1ccc(-c2cccnc2)cc1,-0.010958606550733123,Neutral
1706.0,,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)CCCCN3C(=O)C4=C(C=CS4)NC3=O,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,855.2,-3.067932308,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,O=C(CCCCn1c(=O)[nH]c2ccsc2c1=O)N1CCN(c2cccc(Cl)c2)CC1,-0.00037746650836179425,Neutral
1707.0,,CC(C1=CC=CC=C1)NC2=NC(=NC3=CC=CC=C32)N4CCN(CC4)S(=O)(=O)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CC(Nc1nc(N2CCN(S(C)(=O)=O)CC2)nc2ccccc12)c1ccccc1,-0.004420275550063877,Neutral
1708.0,,CC1=C(C(=CC=C1)C)C(=O)NC2=CC(=CC=C2)[S+](=O)(N(C)C)[O-],20.0,7.4,0.5,200.0,200.0,25.0,0.5,,354.99,-3.449783881,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1cccc(C)c1C(=O)Nc1cccc([S+](=O)([O-])N(C)C)c1,-0.030477143899714492,Neutral
1709.0,,C1CCN(C1)[S+](=O)(C2=CC3=C(C=C2)OC(=N3)NC4=NC(C5=C(N4)CCCC5=O)C6=C(C=NN6)Cl)[O-],20.0,7.4,0.5,200.0,200.0,25.0,0.5,,47.04,-4.327532687,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,O=C1CCCC2=C1C(c1[nH]ncc1Cl)N=C(Nc1nc3cc([S+](=O)([O-])N4CCCC4)ccc3o1)N2,0.035830074769208076,Neutral
1710.0,,COC1=C(C=CC(=C1)/C=C(\C#N)/C2=NC3=CC=CC=C3N2)OCC4=CC=C(C=C4)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,640.64,-3.193385949,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1cc(/C=C(\C#N)c2nc3ccccc3[nH]2)ccc1OCc1ccc(F)cc1,-0.008585521849616702,Neutral
1711.0,,CCN1CCN(CC1)CCCOC2=CC=C(C=C2)C3=CC=CC=C3,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CCN1CCN(CCCOc2ccc(-c3ccccc3)cc2)CC1,-0.032782284522669375,Neutral
1712.0,,CCN(CC)CCN1C2=C(C=CC(=C2)OCCN(CC)CC)C(=O)C3=C1C=C(C=C3)Cl,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CCN(CC)CCOc1ccc2c(=O)c3ccc(Cl)cc3n(CCN(CC)CC)c2c1,-0.00674503694328401,Neutral
1713.0,,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC=CC=C4F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,838.95,-3.076263922,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Fc1ccccc1Nc1nc(-c2ccncc2)nc2ccccc12,-0.024641226605035406,Neutral
1714.0,,COC1=CC=CC=C1NC2=NC(=NC=C2)N3CCN(CC3)C(=O)C4=CC=CC=C4Cl,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,173.0,-3.761953897,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1ccccc1Nc1ccnc(N2CCN(C(=O)c3ccccc3Cl)CC2)n1,-0.00385416412484799,Neutral
1715.0,,C1CN(CCC1C(=O)N)C2=NN=C(S2)C3=CC=C(C=C3)Br,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,524.51,-3.280246227,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,NC(=O)C1CCN(c2nnc(-c3ccc(Br)cc3)s2)CC1,-0.022711647152256174,Neutral
1716.0,,COC1=CC(=C(C=C1)OC)C2=NC3=CC=CC=C3C(=C2)C(=O)N4CCN(CC4)C5=NC=CC=N5,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1ccc(OC)c(-c2cc(C(=O)N3CCN(c4ncccn4)CC3)c3ccccc3n2)c1,0.004902195240295575,Neutral
1717.0,,COC1=CC=C(C=C1)N2C(=O)NC(=N2)C3CCN(CC3)C(=O)CC4=CC=C(C=C4)F,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,540.4,-3.26728466,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1ccc(-n2nc(C3CCN(C(=O)Cc4ccc(F)cc4)CC3)[nH]c2=O)cc1,-0.006366458786468634,Neutral
1718.0,,CN1C=C(C(=N1)C2C3=C(CCCC3=O)NC(=N2)NC4=NC5=CC=CC=C5O4)Cl,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,633.38,-3.198335654,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cn1cc(Cl)c(C2N=C(Nc3nc4ccccc4o3)NC3=C2C(=O)CCC3)n1,0.004704592449742995,Neutral
1719.0,,CN1C2=CC(=C(N=C2N=C1C(=O)NCCC3=CC=CC=N3)C4=CC=CC=C4)Cl,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cn1c(C(=O)NCCc2ccccn2)nc2nc(-c3ccccc3)c(Cl)cc21,-0.0094372169012261,Neutral
1720.0,,CC1=NN2CCCN(C2=C1C3=CC=CC=C3C4=CC=CC=C4)CC5=CC=C(S5)C(=O)O,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,108.83,-3.963251371,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1nn2c(c1-c1ccccc1-c1ccccc1)N(Cc1ccc(C(=O)O)s1)CCC2,-0.0031393832588473233,Neutral
1721.0,,CCN1C2=C(C=CC(=C2)C(=O)NCC3=CC=C(C=C3)OC)S(=O)C4=CC=CC=C4C1=O,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,882.71,-3.054181953,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CCN1C(=O)c2ccccc2S(=O)c2ccc(C(=O)NCc3ccc(OC)cc3)cc21,-0.007490862453761093,Neutral
1722.0,,CC1=CC=CC=C1C(=O)NC2=CC3=C(C=C2)N(CCC3)C(=O)C4=CC=CS4,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,686.94,-3.163081194,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1ccccc1C(=O)Nc1ccc2c(c1)CCCN2C(=O)c1cccs1,-0.02233469930268744,Neutral
1723.0,,CC(C#CC1=CC2=C(CCN2C3=NC(=NC=C3Cl)N)C=C1)(C4=NC=CS4)O,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,515.55,-3.287729209,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CC(O)(C#Cc1ccc2c(c1)N(c1nc(N)ncc1Cl)CC2)c1nccs1,-0.003627280314719805,Neutral
1724.0,,C1=CC=C(C=C1)C2=CC=C(C=C2)CNC3=C(N=NC(=N3)C4=CC=CC=N4)C5=CC=CC=C5,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,c1ccc(-c2ccc(CNc3nc(-c4ccccn4)nnc3-c3ccccc3)cc2)cc1,-0.0008246608242135991,Neutral
1725.0,,CNC1=NC=CC(=N1)C2=CC=CC3=CC=CC=C32,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,904.52,-3.043581826,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,CNc1nccc(-c2cccc3ccccc23)n1,-0.0430185655771036,Neutral
1726.0,,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=CC=C4)Cl,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,250.24,-3.601643269,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Clc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,-0.023656609378362652,Neutral
1727.0,,CC1=CN=C(N=C1NCC2CCN(CC2)C3COC3)C4=CC=CC=C4C(C)C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,1000.0,-3.0,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1cnc(-c2ccccc2C(C)C)nc1NCC1CCN(C2COC2)CC1,-0.011368677448674803,Neutral
1728.0,,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CN=CC=C4,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,103.6,-3.984640245,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3cccnc3)cs2)cc1,0.011837591869467165,Neutral
1729.0,,CC1=CC(=C(N1)C(=O)NC2=CC(=CC=C2)[S+](=O)(NC3=CC=C(C=C3)Br)[O-])C,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,736.82,-3.132638594,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,Cc1cc(C)c(C(=O)Nc2cccc([S+](=O)([O-])Nc3ccc(Br)cc3)c2)[nH]1,-0.006124112026215321,Neutral
1730.0,,COC1=C(C=C(C=C1)NC(=O)C2=CC=CC=C2)S(=O)(=O)NC3=CC=C(C=C3)Br,20.0,7.4,0.5,200.0,200.0,25.0,0.5,,731.11,-3.136017276,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612,COc1ccc(NC(=O)c2ccccc2)cc1S(=O)(=O)Nc1ccc(Br)cc1,-0.005547105959213449,Neutral
