Molecule ChEMBL ID,SMILES,Standard Type,Standard Relation,Standard Value,Final Value(10^-6),log Pe,Result,Standard Units,Comment,Assay Description
CHEMBL4084286,CCCCCCCC1OC(=O)c2cc(-n3nc(C(F)(F)F)cc3O)ccc21,permeability,'=',0.73,0.73,-6.13667714,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,permeability,'=',16.9,16.9,-4.772113295,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL568,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,permeability,'=',9.6,9.6,-5.017728767,1,10^-6 cm/s,,0
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,permeability,'=',10.1,10.1,-4.995678626,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL2419690,N#Cc1cc(C#N)c(NC2CCN(Cc3ccccc3)CC2)nc1NC1CCN(Cc2ccccc2)CC1,permeability,'=',5,5,-5.301029996,1,10^-6 cm/s,,Permeability of the compound at 1 mg/ml after 4 hrs by PAMPA
CHEMBL3338144,CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccccc12)C(=O)C1CC1,Papp,'=',0.18,0.18,-6.744727495,1,10^-6 cm/s,,Apparent permeability of the compound at 20 uM incubated at 20 degC for 5 hrs in 2% DMSO containing PBS buffer solution by PAMPA assay
CHEMBL3338145,CCN(Cc1cc(C(F)(F)F)ccc1-c1cn(CC(=O)O)c2ccccc12)C(=O)C1CC1,Papp,'=',0.6,0.6,-6.22184875,1,10^-6 cm/s,,Apparent permeability of the compound at 20 uM incubated at 20 degC for 5 hrs in 2% DMSO containing PBS buffer solution by PAMPA assay
CHEMBL3338149,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2cccnc21)C(=O)C1CC1,Papp,'=',1.1,1.1,-5.958607315,1,10^-6 cm/s,,Apparent permeability of the compound at 20 uM incubated at 20 degC for 5 hrs in 2% DMSO containing PBS buffer solution by PAMPA assay
CHEMBL66381,N#Cc1ccc(O)cc1,Papp,'=',17.04,17.04,-4.76853041,1,10^-6 cm/s,,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
CHEMBL14205,O=[N+]([O-])c1ccccc1O,Papp,'=',56.96,56.96,-4.244430019,1,10^-6 cm/s,,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
CHEMBL46931,Cc1ccccc1O,Papp,'=',52.1,52.1,-4.283162277,1,10^-6 cm/s,,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
CHEMBL4062746,CCCCC1OC(=O)c2cc(-n3nc(C(F)(F)F)cc3O)ccc21,permeability,'=',0.68,0.68,-6.167491087,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,permeability,'=',0.47,0.47,-6.327902142,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL1355736,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,permeability,'=',0.1,0.1,-7,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH at 100 ug/ml after 18 hrs by PAMPA
CHEMBL3427798,CC(C)C[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,Papp,'=',1.52,1.52,-5.818156412,1,10^-6 cm/s,,Apparent permeability of the compound at 50 uM after 5 hrs by PAMPA method
CHEMBL3425619,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,Papp,'=',0.11,0.11,-6.958607315,1,10^-6 cm/s,,Apparent permeability of the compound at 50 uM after 5 hrs by PAMPA method
CHEMBL2087444,COc1cccc(-c2cc(NC(=O)CCCCN3CCCCC3)[nH]n2)c1,permeability,'>',10,10,-5,1,10^-6 cm/s,,Permeability of the compound at 10 uM after 4 hrs by PAMPA assay
CHEMBL2087448,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccc(Br)cc2)n[nH]1,permeability,'>',10,10,-5,1,10^-6 cm/s,,Permeability of the compound at 10 uM after 4 hrs by PAMPA assay
CHEMBL2087449,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccncc2)n[nH]1,permeability,'=',2,2,-5.698970004,1,10^-6 cm/s,,Permeability of the compound at 10 uM after 4 hrs by PAMPA assay
CHEMBL241749,CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccc(Cl)cc3)c2n1,Papp,'=',1.35,1.35,-5.869666232,1,10^-6 cm/s,,Apparent permeability at pH 7.4 after 24 hrs by PAMPA method
CHEMBL392301,CCSc1nc(NCCc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1,Papp,'=',1.26,1.26,-5.899629455,1,10^-6 cm/s,,Apparent permeability at pH 7.4 after 24 hrs by PAMPA method
CHEMBL4215078,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,Peff,'=',0.2,0.2,-6.698970004,1,10^-6 cm/s,,Permeability of the compound in PBS at pH 7.4 after 16 hrs by PAMPA
CHEMBL5074720,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,Peff,'=',0.08,0.08,-7.096910013,1,10^-6 cm/s,,Permeability of the compound in PBS at pH 7.4 after 16 hrs by PAMPA
CHEMBL5087433,Cc1nn(CC(F)(F)F)cc1Nc1nccc(NCCCNC(=O)C2CCC2)n1,Peff,'=',2.39,2.39,-5.621602099,1,10^-6 cm/s,,Effective permeability in PBS at 7.4 incubated for 5 hrs by PAMPA analysis
CHEMBL5076165,Cc1nn(CC(F)(F)F)cc1Nc1ncc(Br)c(NCCc2cnc[nH]2)n1,Peff,'=',1.51,1.51,-5.821023053,1,10^-6 cm/s,,Effective permeability in PBS at 7.4 incubated for 5 hrs by PAMPA analysis
CHEMBL3701696,CC1c2cccc(C(N)=O)c2C(=O)N1C1CCN(C2CCCCC2)CC1,permeability,'=',39.4,39.4,-4.404503778,1,10^-6 cm/s,,Permeability of the compound in pH 7.4 HBSS at 10 uM incubated for 4 hrs by LC-MS/MS based PAMPA method
CHEMBL4467747,O=C(Nc1cc2cc[nH]c2cn1)c1ccc(Cl)c(Cl)c1,Peff,'=',110.7,110.7,-3.955852379,1,10^-6 cm/s,,Effective permeability of the compound in prisma HT buffer at 10 mM at pH 7.4 after 4 hrs by PAMPA
CHEMBL4470162,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(OC(F)F)cc3)c2c1,Peff,'=',0.3,0.3,-6.522878745,1,10^-6 cm/s,,Effective permeability of the compound at 10 uM after 5 hrs by PAMPA
CHEMBL4587441,N#Cc1ccc2cc3c(=O)n(-c4ccc(Cl)c(Cl)c4)c(=O)nc-3n(-c3cccc(O)c3)c2c1,Peff,'=',0.03,0.03,-7.522878745,1,10^-6 cm/s,,Effective permeability of the compound at 10 uM after 5 hrs by PAMPA
CHEMBL4572376,CS(=O)(=O)Nc1ccc(-n2c3nc(=O)n(-c4ccc(Cl)cc4)c(=O)c-3cc3ccc(C#N)cc32)cc1,Peff,'=',0.02,0.02,-7.698970004,1,10^-6 cm/s,,Effective permeability of the compound at 10 uM after 5 hrs by PAMPA
CHEMBL4471861,N#Cc1ccc2cc3c(=O)n(-c4ccc(Cl)cc4)c(=O)nc-3n(-c3ccccc3)c2c1,Peff,'=',4.4,4.4,-5.356547324,1,10^-6 cm/s,,Effective permeability of the compound at 10 uM after 5 hrs by PAMPA
CHEMBL2035455,CNCc1cc(-c2ccccc2)n(S(=O)(=O)c2ccc(OC)cc2)c1,Peff,'=',246,24.6,-4.609064893,1,nm/s,,Effective permeability of the compound at 10 uM at pH 7.4 after 3 hrs by PAMPA
CHEMBL4074720,CNCc1cn(S(=O)(=O)c2cccnc2)c(-c2cccnc2F)c1F,Peff,'=',256,25.6,-4.591760035,1,nm/s,,Effective permeability of the compound at 10 uM at pH 7.4 after 3 hrs by PAMPA
CHEMBL4449643,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(OC(F)(F)F)cc3)c2c1,Peff,'=',1.1,1.1,-5.958607315,1,10^-6 cm/s,,Effective permeability of the compound at 10 uM after 5 hrs by PAMPA
CHEMBL190461,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,permeability,'=',22.66,22.66,-4.644740094,1,10^-6 cm/s,,Permeability of the compound at 100 ug/ml incubated for 18 hrs by PAMPA
CHEMBL1369613,COC(=O)c1cccc(-n2sc3ccccc3c2=O)c1,permeability,'=',1300,1300,-2.886056648,1,10^-6 cm/s,,Permeability of the compound at donor pH 7.4 and acceptor pH 7.4 by PAMPA
CHEMBL568438,CC1(CC(=O)NCc2ccccn2)CC2(CCCCC2)OO1,permeability,'=',33,33,-4.48148606,1,10^-6 cm/s,,Membrane permeability at 25 mM at pH 6.5 to 7.4 after 4 hrs by PAMPA
CHEMBL591902,CN(C(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,permeability,'=',0.4,0.4,-6.397940009,1,10'6cm/s,,Effective permeability across artificial membrane at 200 uM by PAMPA using HPLC/MS method
CHEMBL591867,CN(C(=O)[C@H](CC1CCCCC1)NC(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,permeability,'=',0.4,0.4,-6.397940009,1,10'6cm/s,,Effective permeability across artificial membrane at 200 uM by PAMPA using HPLC/MS method
CHEMBL565361,COc1cccc(CNC(=O)CC2(C)CC3(CCCCC3)OO2)c1,permeability,'=',65,65,-4.187086643,1,10^-6 cm/s,,Membrane permeability at 25 mM at pH 6.5 to 7.4 after 4 hrs by PAMPA
CHEMBL3259971,COc1ccc(CS(=O)(=O)/C=C/c2ccc(O)c(O)c2)cc1,permeability,'=',6.4,6.4,-5.193820026,1,ucm/s,,Permeability of the compound at 5 mg/mL after 18 hrs by PAMPA
CHEMBL3259979,COc1ccc(C[S+]([O-])/C=C/c2ccc(O)c(O)c2)cc1,permeability,'=',4.3,4.3,-5.366531544,1,ucm/s,,Permeability of the compound at 5 mg/mL after 18 hrs by PAMPA
CHEMBL3259969,CC(C)(C)c1ccc(CS(=O)(=O)/C=C/c2ccc(O)c(O)c2)cc1,permeability,'=',4.7,4.7,-5.327902142,1,ucm/s,,Permeability of the compound at 5 mg/mL after 18 hrs by PAMPA
CHEMBL3259975,[O-][S+](/C=C/c1ccc(O)c(O)c1)CCCCc1ccccc1,permeability,'=',4.5,4.5,-5.346787486,1,ucm/s,,Permeability of the compound at 5 mg/mL after 18 hrs by PAMPA
CHEMBL389621,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,permeability,'=',1.8,1.8,-5.744727495,1,ucm/s,,Permeability of the compound at 5 mg/mL after 18 hrs by PAMPA
CHEMBL571,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,Papp,'=',0.41,0.41,-6.387216143,1,10'6cm/s,,Apparent permeability at pH 7.4 after 24 hrs by PAMPA method
CHEMBL130,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Papp,'=',0.092,0.092,-7.036212173,1,10'6cm/s,,Apparent permeability at pH 7.4 after 24 hrs by PAMPA method
CHEMBL112,CC(=O)Nc1ccc(O)cc1,Papp,'=',0.3,0.3,-6.522878745,1,10'6cm/s,,Apparent permeability at pH 7.4 after 24 hrs by PAMPA method
CHEMBL2435858,Cc1nc(Oc2ccc(C(N)=O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2ccccc2)CC1,Papp,'=',12,12,-4.920818754,1,ucm/s,,Apparent permeability of the compound at 200 uM after 16 hrs by PAMPA
CHEMBL4206444,CCCCCC(C)(O)C/C=C/[C@H]1CCC(=O)[C@@H]1CCSc1nc(C(=O)O)cs1,permeability,'=',40,40,-4.397940009,1,ucm/s,,Permeability of the compound at 50 uM at pH 6.2 after 4 hrs by PAMPA
CHEMBL5402993,CO[C@@H]1[C@@H](n2cc(-c3cc(F)c(Cl)c(F)c3)nn2)[C@@H](O)[C@@H](CO)O[C@H]1C(=O)N(C)c1ccc2ncsc2c1,permeability,'=',167,16.7,-4.777283529,1,nm/s,,Permeability of the compound at pH 7.4 incubated for 4 hrs by PAMPA based SpectraMax UV-plate reader analysis
CHEMBL386630,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,permeability,'=',15.76,15.76,-4.802443787,1,10^-6 cm/s,,Permeability of the compound at 100 ug/ml after 10 hrs by PAMPA
CHEMBL2414568,O=S(=O)(/C=C/c1ccc(O)c(O)c1)NCc1ccc(C(F)(F)F)cc1,permeability,'=',2.8,2.8,-5.552841969,1,ucm/s,,Permeability of the compound at 25 ug/ml after 18 hrs by PAMPA assay
CHEMBL2414567,O=S(=O)(/C=C/c1ccc(O)c(O)c1)NCc1ccc(Cl)cc1,permeability,'=',2.5,2.5,-5.602059991,1,ucm/s,,Permeability of the compound at 25 ug/ml after 18 hrs by PAMPA assay
CHEMBL2435852,Cc1nc(Oc2ccc(C(=O)O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2ccccc2)CC1,Papp,'=',7.8,7.8,-5.107905397,1,ucm/s,,Apparent permeability of the compound at 200 uM after 16 hrs by PAMPA
CHEMBL2088784,N#Cc1cc(C#N)c(NCCC2CCN(Cc3ccccc3)CC2)nc1N,permeability,'=',14.4,14.4,-4.841637508,1,ucm/s,,Permeability of the compound in PBS/ethanol at 1 mg/ml after 4 hrs by PAMPA
CHEMBL2440739,NCc1ccc(C(=O)Nc2ccncc2)cc1-c1cccc(C(=O)O)c1,Papp,'<',0.01,0.01,-8,0,ucm/s,,Apparent permeability of the compound at 10 uM after 5 hrs by PAMPA
CHEMBL3353611,N=C(N)NCCCCCCCCNCCCCCCCCNC(=N)NCC1CC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Papp,'=',9.5,0.95,-6.022276395,1,nm/s,,Apparent permeability of the compound at pH 7.4 after 5 hrs by PAMPA
CHEMBL3086276,COc1cc2[se]n(CCC3CCN(Cc4ccccc4)CC3)c(=O)c2cc1OC,Peff,'=',8.6,8.6,-5.065501549,1,ucm/s,,Effective permeability of the compound at 5 mg/mL after 10 hrs by PAMPA
CHEMBL4097764,O=C1Nc2cc(=O)n(Cc3ccccc3)cc2CN1c1cccc(OCc2cccnc2)c1,permeability,'=',142,14.2,-4.847711656,1,nm/s,,Permeability of the compound at 10 uM at pH 7.4 after 3 hrs by PAMPA
CHEMBL578547,COC(=O)c1ccc(CNC(=O)CC2(C)CC3(CCCCC3)OO2)cc1,permeability,'=',57,57,-4.244125144,1,10^-6 cm/s,,Membrane permeability at 25 mM at pH 6.5 to 7.4 after 4 hrs by PAMPA
CHEMBL1727,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,Papp,'=',0.015,0.015,-7.823908741,1,10'6cm/s,,Apparent permeability at pH 7.4 after 24 hrs by PAMPA method
CHEMBL554522,C[C@@]1(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)[nH]2)CCCN1,permeability,'=',6.4,6.4,-5.193820026,1,10'6cm/s,,Passive membrane permeability across the PAMPA using pre coated plate based method
CHEMBL3597526,Cc1c(F)cccc1CCCCOc1ccc(/C=C/c2cccc3c(CCCC(=O)O)cn(CC(=O)O)c23)cc1,permeability,'=',3.5,3.5,-5.455931956,1,ucm/s,,Permeability of the compound at 50 uM at pH 6.2 after 4 hrs by PAMPA
CHEMBL3597528,Cc1c(CCCC(=O)O)c2cccc(/C=C/c3ccc(OCCCCc4ccccc4)cc3)c2n1CC(=O)O,permeability,'=',1.3,1.3,-5.886056648,1,ucm/s,,Permeability of the compound at 50 uM at pH 6.2 after 4 hrs by PAMPA
CHEMBL5195113,N=c1c2c(-c3ccccc3)c(-c3ccccc3)n(Cc3ccccc3)c2ncn1CCCCCO,permeability,'>',1000,1000,-3,1,10^-6 cm/s,,Permeability of the compound at pH 7.4 incubated for 30 mins by UV plate reader based PAMPA assay
CHEMBL5176589,N=c1c2c(-c3ccccc3)c(-c3ccccc3)n(Cc3ccccc3)c2ncn1C[C@@H]1CCCC[C@H]1CO,permeability,'>',1000,1000,-3,1,10^-6 cm/s,,Permeability of the compound at pH 7.4 incubated for 30 mins by UV plate reader based PAMPA assay
CHEMBL5175549,O=C(NCC(F)(F)F)[C@@H]1COCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](CCc2ccccc2)C(=O)N1,permeability,'=',120,12,-4.920818754,1,nm/s,,Permeability of the compound in PRISMA HT buffer at pH 7.4 at 10 uM incubated for 3 hrs by PAMPA based LC/MS/MS analysis
CHEMBL29878,Cc1ccc(O)c(C)c1,Papp,'=',24.34,24.34,-4.613679426,1,10^-6 cm/s,,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
CHEMBL3576959,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H]1O,Peff,'=',1,1,-6,1,ucm/s,,Permeability of the compound at 10 uM after 5 hrs by LC-MS detection based PAMPA method
CHEMBL3576967,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)C[C@@H](O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)C[C@@H]1O,Peff,'=',3,3,-5.522878745,1,ucm/s,,Permeability of the compound at 10 uM after 5 hrs by LC-MS detection based PAMPA method
CHEMBL5188107,O=C(O)c1nc(-c2ccc(-c3ccccc3)cc2)[nH]c(=O)c1O,permeability,'=',0.06,0.06,-7.22184875,1,10^-6 cm/s,,Apparent permeability coefficient of the compound incubated for 5 hrs by LC-MS/MS analysis based PAMPA method
CHEMBL5184216,Cc1ccc(Cc2nc(C(=O)O)c(O)c(=O)[nH]2)cc1,permeability,'=',0.07,0.07,-7.15490196,1,10^-6 cm/s,,Apparent permeability coefficient of the compound incubated for 5 hrs by LC-MS/MS analysis based PAMPA method
CHEMBL5206223,O=C(Nc1ccccc1)Nc1cccc(Nc2nccc(Nc3ccc4cc[nH]c4c3)n2)c1,Papp,'=',0.1,10,-5,1,um/s,,Effective permeability in PBS at pH 7.4 incubated for 5 hrs by PAMPA based UPLC-MS/MS analysis
CHEMBL5177419,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(-c2ccccc2)cc1,Papp,'=',4.9,4.9,-5.30980392,1,10^-6 cm/s,,Apparent permeability of compound across gastrointestinal tract mimic in PBS buffer incubated for 5 hrs by PAMPA assay based HPLC analysis
CHEMBL5184154,COc1cc(C2=NN(C(C)=O)C(c3ccc(-c4ccccc4)cc3)C2)cc(OC)c1OC,Papp,'=',7.89,7.89,-5.102922997,1,10^-6 cm/s,,Apparent permeability of compound across gastrointestinal tract mimic in PBS buffer incubated for 5 hrs by PAMPA assay based HPLC analysis
CHEMBL5183314,COc1ccc(C2=NN(C(C)=O)C(c3ccc(-c4ccccc4)cc3)C2)c(OC)c1,Papp,'=',1,1,-6,1,10^-6 cm/s,,Apparent permeability of compound across gastrointestinal tract mimic in PBS buffer incubated for 5 hrs by PAMPA assay based HPLC analysis
CHEMBL5077132,CN(CCCCN(C[C@H]1Cc2ncccc2CN1)[C@H]1CCCc2cccnc21)C1CCOCC1,permeability,'=',15,1.5,-5.823908741,1,nm/s,,Permeability of compound at pH 5.5 incubated for 4 hrs by PAMPA assay
CHEMBL3735115,Oc1ccc(-c2cc3cc(I)cc(I)c3o2)c2cccnc12,permeability,'=',3.6,3.6,-5.443697499,1,10^-6 cm/s,,Permeability of the compound at 100 ug/ml after 10 hrs by PAMPA assay
CHEMBL3735108,Cc1c(-c2cc(Cl)c(O)c3ncccc23)oc2ccc(O)cc12,permeability,'=',3.5,3.5,-5.455931956,1,10^-6 cm/s,,Permeability of the compound at 100 ug/ml after 10 hrs by PAMPA assay
CHEMBL549309,CN1CCCCC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,permeability,'=',2.2,2.2,-5.657577319,1,10'6cm/s,,Passive membrane permeability across the PAMPA using pre coated plate based method
CHEMBL562482,CN1CCCCC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,permeability,'=',15.3,15.3,-4.815308569,1,10'6cm/s,,Passive membrane permeability across the PAMPA using pre coated plate based method
CHEMBL563628,CC(=O)N1CCCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,permeability,'=',3.5,3.5,-5.455931956,1,10'6cm/s,,Passive membrane permeability across the PAMPA using pre coated plate based method
CHEMBL2088010,O=C(Nc1ccc([N+](=O)[O-])cc1)c1cc(Cl)ccc1O,permeability,'=',12.4,12.4,-4.906578315,1,10^-6 cm/s,,Permeability of compound incubated for 3 hrs by UV plate reader based PAMPA assay
CHEMBL2179169,O=C(Nc1cccc(F)c1)c1cc(Cl)ccc1O,permeability,'=',3.7,3.7,-5.431798276,1,10^-6 cm/s,,Permeability of compound incubated for 3 hrs by UV plate reader based PAMPA assay
CHEMBL2088014,O=C(Nc1ccc(C(F)(F)F)cc1)c1cc(Cl)ccc1O,permeability,'=',6.9,6.9,-5.161150909,1,10^-6 cm/s,,Permeability of compound incubated for 3 hrs by UV plate reader based PAMPA assay
CHEMBL591888,CN(C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)CCCN)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,permeability,'=',0.2,0.2,-6.698970004,1,10'6cm/s,,Effective permeability across artificial membrane at 200 uM by PAMPA using HPLC/MS method
CHEMBL5432398,CO[C@@H]1[C@@H](n2cc(-c3ccc(Cl)c(F)c3F)nn2)[C@@H](O)[C@@H](CO)O[C@H]1c1nc(C)nn1-c1ccc2ncsc2c1,permeability,'=',731,73.1,-4.136082623,1,nm/s,,Permeability of the compound at pH 5.5 incubated for 4 hrs by PAMPA based SpectraMax UV-plate reader analysis
CHEMBL5410487,Cc1nc([C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(Br)c(F)c4F)nn3)[C@H]2O)n(-c2ccc3ncsc3c2)n1,permeability,'=',301,30.1,-4.521433504,1,nm/s,,Permeability of the compound at pH 7.4 incubated for 4 hrs by PAMPA based SpectraMax UV-plate reader analysis
CHEMBL5422112,O=C(Nc1cnccc1-c1ccc(F)cc1)c1ccnc(Nc2ccc(OC(F)F)cc2)n1,permeability,'=',98,98,-4.008773924,1,10^-6 cm/s,,Permeability of the compound at 100 uM incubated for 4 hrs at pH 5.5 by PAMPA assay
CHEMBL5414551,O=C(Nc1cnccc1-c1ccccc1)c1ccnc(Nc2ccc(Cl)cc2)n1,permeability,'=',85,85,-4.070581074,1,10^-6 cm/s,,Permeability of the compound at 100 uM incubated for 4 hrs at pH 7.4 by PAMPA assay
CHEMBL5419652,N#Cc1ccc(Nc2nccc(C(=O)Nc3cnccc3-c3ccc(F)cc3)n2)cc1,permeability,'=',84,84,-4.075720714,1,10^-6 cm/s,,Permeability of the compound at 100 uM incubated for 4 hrs at pH 7.4 by PAMPA assay
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,permeability,'=',10.49,10.49,-4.979224512,1,10^-6 cm/s,,Permeability coefficient of the compound in PBS buffer at pH 7.4 at 100 uM incubated for 5 hrs by PAMPA based UPLC-MS analysis
CHEMBL3259965,O=S(=O)(/C=C/c1ccc(O)c(O)c1)CCc1ccccc1,permeability,'=',5.7,5.7,-5.244125144,1,ucm/s,,Permeability of the compound at 5 mg/mL after 18 hrs by PAMPA
CHEMBL4074983,Cn1cc(-c2ccc(C(=O)N[C@@H]3CCN(c4ncc(Cl)c5c(N)noc45)C3)c(Cl)c2)cnc1=O,Papp,'=',0.7,0.7,-6.15490196,1,10^-6 cm/s,,Apparent permeability of the compound at 5 uM after 5 hrs by PAMPA
CHEMBL3979903,CCNC(=S)Nc1cc(-n2cnc(CN(C)C)c2)ncn1,Peff,'=',3,3,-5.522878745,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH (7:3) buffer measured after 10 hrs by PAMPA assay
CHEMBL5219830,Nc1nc(Cl)cc(-c2nn(C(F)F)cc2Cc2ccccc2OCCN2CCOC[C@H]2CO)n1,permeability,'=',463,46.3,-4.334419009,1,nm/s,,Permeability of compound at pH 7.4 at 10 uM incubated for 3 hrs by PAMPA based LC/MS/MS analysis
CHEMBL266195,C=CCc1ccccc1OCC(O)CNC(C)C,Papp,'=',11.5,11.5,-4.93930216,1,10^-6 cm/s,,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Peff,'=',11.86,11.86,-4.925915311,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH buffer at 100 ug/ml by PAMPA
CHEMBL527,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,Peff,'=',0.72,0.72,-6.142667504,1,10^-6 cm/s,,Permeability of the compound in PBS/EtOH buffer at 100 ug/ml by PAMPA
CHEMBL2087446,COc1ccc(-c2n[nH]c(NC(=O)CCCCN3CCCCC3)c2C)cc1,permeability,'>',10,10,-5,1,ucm/s,,Permeability of the compound at 10 uM after 4 hrs by PAMPA assay
CHEMBL2087451,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccco2)n[nH]1,permeability,'>',10,10,-5,1,ucm/s,,Permeability of the compound at 10 uM after 4 hrs by PAMPA assay
CHEMBL2110372,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1.Cl,permeability,'=',1.2,1.2,-5.920818754,1,10^-6 cm/s,,Membrane permeability at 10 uM at pH 7.4 by PAMPA method
CHEMBL5593260,OC[C@H]1O[C@@H](c2nncn2-c2cc(Cl)ccc2C(F)(F)F)[C@H](O)[C@@H](n2cc(-c3ccc(Cl)c(F)c3)nn2)[C@H]1O,permeability,'=',21,2.1,-5.677780705,1,nm/s,,Permeability of the compound at pH 7.4 incubated for 4 hrs by PAMPA
