Molecule ChEMBL ID,SMILES,Standard Type,Standard Relation,Standard Value,Final Value(10^-6),log Pe,Result,Standard Units,Comment,Assay Description
CHEMBL5191472,O=C(Oc1ccc([N+](=O)[O-])cc1)N1CCN(S(=O)(=O)c2ccc(-c3ccc(Cl)c(Cl)c3)cc2)CC1,permeability,'=',2.8,0.28,-6.552841969,1,10^-7 cm/s,,Permeability of the compound by measuring lambda maximum incubated for 18 hrs by PAMPA method
CHEMBL5200684,CCCCc1ccc(S(=O)(=O)N2CCN(C(=O)Oc3ccc([N+](=O)[O-])cc3)CC2)cc1,permeability,'=',2.6,0.26,-6.585026652,1,10^-7 cm/s,,Permeability of the compound by measuring lambda maximum incubated for 18 hrs by PAMPA method
CHEMBL5175430,O=C(Oc1ccc([N+](=O)[O-])cc1)N1CCN(S(=O)(=O)c2ccc(Oc3cccc(Cl)c3)cc2)CC1,permeability,'=',2.3,0.23,-6.638272164,1,10^-7 cm/s,,Permeability of the compound by measuring lambda maximum incubated for 18 hrs by PAMPA method
CHEMBL3917434,CCN(CC)C(=O)c1ccc2cc1CN(C)C(=O)[C@H](Nc1ccc3c(N)nccc3c1)c1ccc(c(C)c1)[C@@H](C)COC(=O)N2,permeability,'=',33,3.3,-5.48148606,1,nm/s,,Permeability coefficient of the compound at 100 uM after 4 hrs by PAMPA
CHEMBL3984639,CCOc1ccc(-c2ccc(C(=O)NO)cn2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,Peff,'=',9.2,0.92,-6.036212173,1,nm/s,,Passive membrane permeability of the compound at 50 uM after 18 hrs by PAMPA
CHEMBL5426368,Cc1ccc(C2=C(c3nnn[nH]3)C(=O)N[C@@](c3ccc(OCCCC(F)(F)F)cc3)(C(F)(F)F)C2)nc1,permeability,'=',13,1.3,-5.886056648,1,nm/s,,Permeability of the compound at pH 7.4 incubated for 8 hrs by PAMPA method
CHEMBL5419986,CCC[C@@H]1NC(=O)[C@H]([C@H](O)C(C)C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O,permeability,'=',9.2,9.2,-5.036212173,1,10^-6 cm/s,,Permeability of compound at 10 uM incubated for 18 hrs by PAMPA assay
CHEMBL5394846,CCC[C@@H]1NC(=O)[C@H](CC)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O,permeability,'=',2,2,-5.698970004,1,10^-6 cm/s,,Permeability of compound at 10 uM incubated for 18 hrs by PAMPA assay
CHEMBL5418412,CCC[C@@H]1NC(=O)[C@H]([C@@H](C)O)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O,permeability,'=',0.3,0.3,-6.522878745,1,10^-6 cm/s,,Permeability of compound at 10 uM incubated for 18 hrs by PAMPA assay
CHEMBL5431193,CCC[C@@H]1NC(=O)[C@H]([C@@H](C)O)N(C)C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O,permeability,'=',7.5,7.5,-5.124938737,1,10^-6 cm/s,,Permeability of compound at 10 uM incubated for 18 hrs by PAMPA assay
CHEMBL5426626,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CCC)NC(=O)[C@H]([C@@H](C)O)N(C)C1=O,permeability,'=',5.2,5.2,-5.283996656,1,10^-6 cm/s,,Permeability of compound at 10 uM incubated for 18 hrs by PAMPA assay
CHEMBL4845706,COc1cc2nc(C3CCCCC3)cc(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)c2cc1OC,permeability,'=',2.1,0.21,-6.677780705,1,nm/s,,Permeability of the compound in PBS/EtOH buffer (70:30) incubated for 18 hrs by UV plate reader based PAMPA assay
CHEMBL4128709,Oc1ccc2[nH]c(-c3cc(Cl)c(O)c4ncccc34)cc2c1,permeability,'=',6.8,6.8,-5.167491087,1,10^-6 cm/s,,Permeability of compound at 100 ug/ml after 10 hrs by PAMPA assay
CHEMBL5639256,CCC(Oc1cc(C(F)(F)F)ccc1F)c1nc(N)nc(N2CCN(C)CC2)n1,permeability,'=',19,19,-4.721246399,1,10^-6 cm/s,,Permeability of compound at 200 uM incubated for 5 hrs by PAMPA assay
CHEMBL4648132,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1cccc2ccccc12,Peff,'=',9,9,-5.045757491,1,10^-6 cm/s,,Effective permeability of the compound at pH 7.4 at 100 uM measured after 3 to 6 hrs by PAMPA assay
CHEMBL3093181,O=C1/C(=C/c2ccc(Cl)cc2)COc2cc(OCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccc21,permeability,'=',1.1,1.1,-5.958607315,1,ucm/s,,Permeability of the compound at 100 mg/mL after 10 hrs by PAMPA
CHEMBL3093175,COc1ccc(/C=C2\COc3cc(OCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,permeability,'=',4.9,4.9,-5.30980392,1,ucm/s,,Permeability of the compound at 100 mg/mL after 10 hrs by PAMPA
